启用,配置名,配置值,备注,创建日期
No,INLINE_CONFIG,"{ ""TEST"" : ""测试值"" }","JSON格式注意要用英文半角双引号 """"。
若无双引号或用中文双引号 “” 会错误 
多行配置，用于批量导入json格式的配置。V4.4.3 后支持",2025年2月25日 10:57
Yes,LINK,https://blog.thooh.com,"上线后的站点网址，必填！
请务必在blog.config.js中或者环境变量中配置，以确保配置在项目编译时生效。
",2025年2月25日 10:57
Yes,THEME,gitbook,"网站主题,建议在blog.config.js 和环境变量中配置此项，从而让站点有更好的性能",2025年2月25日 10:57
Yes,KEYWORDS,"速虎前沿,thooh,blog,博客",关键词SEO，用英文逗号隔开,2025年2月25日 10:57
Yes,AUTHOR,thooh,网站管理者 姓名,2025年2月25日 10:57
Yes,BIO,thooh,副标题放在标题栏,2025年2月25日 10:57
No,FONT_URL," [
""https:notion://npm.elemecdn.com/lxgw-wenkai-webfont@1.6.0/style.css"",
""https:notion://fonts.googleapis.com/css?family=Bitter&display=swap"",
""https:notion://fonts.googleapis.com/css2?family=Noto+Sans+SC:wght@300&display=swap"",
""https:notion://fonts.googleapis.com/css2?family=Noto+Serif+SC:wght@300&display=swap""
]",WEB_FONT 字体，在4.4.4版本中支持在NOTION_CONFIG设置。,2025年2月25日 10:57
No,GLOBAL_CSS,"#wrapper {
background-image: url(https://www.notion.so/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fdccb8a16-2b2a-464d-94c4-2bc12e5e0701%2F9c498771-1b07-4524-beeb-8dc0d75e56b8%2FUntitled.png?table=block&id=0e5cfcc3-5d8f-4413-9121-2216851a7078&t=0e5cfcc3-5d8f-4413-9121-2216851a7078);
background-position: center;
background-repeat: no-repeat;
background-size: 100% 100%;
}


[id^=""theme-""] {
  font-family: LXGW WenKai;
}","4.2.0版本开始支持：在代码里写CSS很麻烦，干脆在Notion里写；

这里的css将背景换成了一张图片。
编写CSS时请注意使用英文半角空格，而非中文全角空格.

底部表示将所有主题的字体更改为落霞文楷，自定义字体旧版本需要改动blog.config.js ，之后的新版本中，建议直接在这里编辑font-family的css样式。",2025年2月25日 10:57
No,WIDGET_PET,false,关闭宠物挂件,2025年2月25日 10:57
No,POST_URL_PREFIX,%category%,,2025年2月25日 10:57
Yes,POST_URL_PREFIX_MAPPING_CATEGORY,"{
""知行合一"":""learning"",
""技术分享"":""technology"",
""心情随笔"":""essay""
}","在使用%category% 路径前缀时: 将url中的分类名映射成英文，效果如下：
【使用前】
xx.com/知行合一/slug
【使用后】
xx.com/learning/slug",2025年2月25日 10:57
No,FONT_STYLE,font-serif font-light,"字体前者控制非衬线，后者控制粗细，留空是默认粗细
[font-sans,font-serif] , [font-light,font-bold]",2025年2月25日 10:57
Yes,GREETING_WORDS,有志之人立长志，无志之人常立志,"hexo，matery主题欢迎语在此配置，英文逗号隔开 ,  即可支持多个欢迎语打字效果。",2025年2月25日 10:57
Yes,GLOBAL_JS,console.log('test');,4.2.0版本开始支持：在代码里写JS很麻烦，干脆在Notion里写；这里的JS将直接在网站中运行注入。,2025年2月25日 10:57
Yes,CUSTOM_MENU,true,二级菜单 ，在4.0的版本后默认开启,2025年2月25日 10:57
Yes,CUSTOM_RIGHT_CLICK_CONTEXT_MENU,false,是否用自定义菜单覆盖浏览器右键菜单,2025年2月25日 10:57
Yes,LANG,en-US,"网站默认语言 zh-CN,en-US 等",2025年2月25日 10:57
No,CAN_COPY,true,"是否允许用户复制网页文字 true 是 , false 否",2025年2月25日 10:57
No,SINCE,2023,网站发布年份,2025年2月25日 10:57
No,CONTACT_WHATSAPP,https://www.whatsapp.com/,whatsapp联系方式,2025年2月25日 10:57
Yes,CONTACT_EMAIL,rol@thooh.com,联系邮箱,2025年2月25日 10:57
No,CONTACT_TELEGRAM,https://telegram.org,跳转telegram,2025年2月25日 10:57
No,THEME_SWITCH,true,是否显示切换主题按钮,2025年2月25日 10:57
No,POST_SHARE_BAR_ENABLE,true,是否文章分享功能,2025年2月25日 10:57
No,PREVIEW_CATEGORY_COUNT,2,首页预览的分类数量,2025年2月25日 10:57
No,PREVIEW_TAG_COUNT,5,首页预览的标签数量,2025年2月25日 10:57
No,BLOG_FAVICON,https://cos.onewk.cn/img/202405011830005.ico,站点在浏览器的小图标 favicon,2025年2月25日 10:57
Yes,TITLE,速虎前沿,站点标题直接读取数据库的标题，无需在此配置,2025年2月25日 10:57
Yes,DESCRIPTION,速虎前沿,站点描述直接读取数据库的描述题，无需在此配置,2025年2月25日 10:57
No,HOME_BANNER_IMAGE,https://source.unsplash.com/random,封面大图URL,2025年2月25日 10:57
