方法名,备注
Index,索引操作 Array/Slice/String
Pointer,返回uintptr 适用于slice
TryRecv,chan非阻塞接收
Call,调用函数
Close,关闭Chan
Convert,返回将v转换位type t的结果
Elem,返回interface包含的实际值
Send,chan发送
SetPointer,unsafe.Pointer赋值
Try Send,chan非阻塞发送
SetBytes,
Float,
MapIndex,对map类型按key取值
UnsafeAddr,返回指向value的data的指针
Type,返回value的Type
Bool,bool类型变量的值
CanSet,判断v的值能否改变
Interface,将当前value以interface{}形式返回
OverflowComplex,
Set,将x赋值给v，类型要匹配
OverflowUint,
IsValid,是否是可操作的Value，返回false表示为zero Value
SetString,
SetBool,
SetUint,
SetMapIndex,map赋值
CanAddr,判断能否取址
IsNil,"判断是否为nil，chan, func, interface, map, pointer, or slice value"
SetCap,slice调整切片
MapKeys,map类型的所有key的列表
CallSlice,调用具有可变参的函数
String,return value的string表示方法
OverflowInt,
Len,"适用于Array, Chan, Map, Slice, or String"
Addr,v的指针，前提时CanAddr()返回true
Cap,判断容量 Array/Chan/Slice
Slice,return v[i:j] 适用于Array/Slict/String
CanInterface,判断Interface方法能否使用
Int,
OverflowFloat,溢出判断
Recv,chan接收
Complex,
Bytes,[]bytes类型的值
