模块,年份,省份,编号,考点,Status,解释,分类,题本
逻辑判断,2023,山东,74,削弱,In progress,,错题,
逻辑判断,2022,四川,82,削弱选非,In progress,,混淆,
逻辑判断,2023,山东,68,范畴分析,In progress,,混淆,
逻辑判断,2023,浙江,109,四圈支持,In progress,,难题,
逻辑判断,2023,深圳,45,削弱-另有他因,In progress,,难题,
逻辑判断,2023,山东,75,漏洞,In progress,,混淆,
逻辑判断,2022,浙江,111,解释说明，支持,Not started,,错题,
逻辑判断,2023,辽宁,97,无关项,Not started,,错题,
逻辑判断,2022,天津,66,,Problem,,错题,
图形推理,2022,广东,46,黑白叠加,Not started,,,https://fb.fenbike.cn/api/tarzan/images/17e209743cf392e.png?width=700
图形推理,2022,国家,72,对称性,Not started,,,https://fb.fbstatic.cn/api/tarzan/images/17d663253dbb972.png?width=700
图形推理,2020,新疆,72,一笔画,Not started,,,https://fb.fbstatic.cn/api/tarzan/images/1751715eeb8b14c.png?width=700
图形推理,2021,国家,81,立体拼合,Not started,,,https://fb.fbstatic.cn/api/tarzan/images/176141c63eb7222.png?width=700
图形推理,2021,国家,71,对称性,Not started,,混淆,https://fb.fenbike.cn/api/tarzan/images/176138c0910db6b.png?width=700
