解释,Status,分类,年份,模块,省份,编号,考点,题本
,In progress,错题,2023,逻辑判断,山东,74,削弱,
,In progress,混淆,2022,逻辑判断,四川,82,削弱选非,
,In progress,混淆,2023,逻辑判断,山东,68,范畴分析,
,In progress,难题,2023,逻辑判断,浙江,109,四圈支持,
,In progress,难题,2023,逻辑判断,深圳,45,削弱-另有他因,
,In progress,混淆,2023,逻辑判断,山东,75,漏洞,
,Not started,错题,2022,逻辑判断,浙江,111,解释说明，支持,
,Not started,错题,2023,逻辑判断,辽宁,97,无关项,
,Problem,错题,2022,逻辑判断,天津,66,,
,Not started,,2022,图形推理,广东,46,黑白叠加,https://fb.fenbike.cn/api/tarzan/images/17e209743cf392e.png?width=700
,Not started,,2022,图形推理,国家,72,对称性,https://fb.fbstatic.cn/api/tarzan/images/17d663253dbb972.png?width=700
,Not started,,2020,图形推理,新疆,72,一笔画,https://fb.fbstatic.cn/api/tarzan/images/1751715eeb8b14c.png?width=700
,Not started,,2021,图形推理,国家,81,立体拼合,https://fb.fbstatic.cn/api/tarzan/images/176141c63eb7222.png?width=700
,Not started,混淆,2021,图形推理,国家,71,对称性,https://fb.fenbike.cn/api/tarzan/images/176138c0910db6b.png?width=700
